iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_abs_D_drift,mean_rel_D_drift,mean_lambda1,mean_lambda2,mean_lambda3,mean_FA_pred,n_observed_vols,n_holdout_vols,subject,sampling_ratio,lambda_dis,lambda_z,loss_signal,loss_dis,loss_z,loss_total
50,0.06622554361820221,-25.079407319521323,97.83686719347932,-19.54762853779242,23.17767183365096,0.17565899207956445,0.0003107208423402141,0.0004248010542299911,0.0003241982954695715,3.6876237597962535e-05,0.03980542414582469,0.0009226925594150241,0.0007788198027288045,0.0007172468056728393,0.12273937463760376,63,45,121618,0.5,0.1,0.0,1.3545572757720947,0.017259646207094193,0.004343028180301189,1.356283187866211
100,0.1074025109410286,-24.09158321401382,77.93277259112341,-18.02158858359343,16.310445149463806,0.1763667281104355,0.0003117822023091289,0.00042796631824447185,0.00032475324922753927,6.0583192678645567e-05,0.08195065928602234,0.0009222679537879773,0.0007778171356795184,0.0007159407055617674,0.12234467267990112,63,45,121618,0.5,0.1,0.0,1.6393252611160278,0.017421560361981392,0.011421963572502136,1.641067385673523
200,0.16106389462947845,-22.751366149087303,57.239841273455404,-16.867016520498034,12.502838107945438,0.17727886800342896,0.00031321452323484946,0.0004321717000291866,0.00032548878167421,8.806058284688852e-05,0.154261652820086,0.0009220099804344877,0.0007766176603586117,0.0007142218680372439,0.12204495817422867,63,45,121618,0.5,0.1,0.0,20.92348289489746,0.3856092691421509,0.025865256786346436,20.96204376220703
500,0.2426169216632843,-20.863459957192994,37.06020365949299,-15.629427861657074,9.402638557194814,0.17890332698976838,0.0003163728498977525,0.0004387208904327517,0.0003279995818069174,0.0001281808955617648,0.29015613916203364,0.0009191816705082825,0.0007736092173982812,0.0007107953535871538,0.12170569598674774,63,45,121618,0.5,0.1,0.0,2.845327377319336,0.26218143105506897,0.05902121216058731,2.8715455532073975
1000,0.3889223039150238,-17.9713963790685,19.041512570640812,-11.804013115691351,3.8968013525540215,0.18242566087643336,0.000326634840222615,0.0004521394498258646,0.00033815443612594196,0.0002039694756774565,0.5492937344086888,0.0009062343277419318,0.0007640086743022174,0.0007015806391468735,0.12236368656158447,63,45,121618,0.5,0.1,0.0,1.1339390277862549,1.828216314315796,0.1509552299976349,1.3167606592178345
0,0.0,-27.558568981992554,504.65425250212087,-23.318394741191945,170.5092175678996,0.1566807853915402,0.0003758220527910952,0.0004692771534623666,0.00038830204935810363,0.0,0.0,0.0009036691894403113,0.0007836907414517349,0.0007275344335784575,0.11865801364183426,63,45,116726,0.5,0.0,0.0,,,,
10,0.020514335483312607,-27.50540876660283,498.5146386346892,-23.30132034356678,169.8401723035715,0.1565235765382567,0.00037541278545403877,0.00046866481006887996,0.000387935483301683,8.827495411477277e-06,0.01271642653335192,0.000904298510208271,0.0007838741984960532,0.0007276450034621278,0.11888221651315689,63,45,116726,0.5,0.0,0.0,577.0660400390625,0.0007534563192166388,0.0003531402617227286,577.0660400390625
50,0.05959467962384224,-27.45714247387578,493.004957475552,-23.273975924323153,168.774169588386,0.15621658054410908,0.0003746510345524398,0.0004675069557345538,0.000387256378790454,2.7836119222337124e-05,0.1329009410047575,0.000905735681264311,0.0007842193665093239,0.0007277684232748487,0.11946127563714981,63,45,116726,0.5,0.0,0.0,897.8346557617188,0.03431824594736099,0.003477687481790781,897.8346557617188
100,0.07748288661241531,-27.371970526579943,483.4305498322424,-23.251234918515067,167.89272547138665,0.15593924154442682,0.0003742438753278758,0.0004661213049727417,0.00038712153279453775,3.402700558389071e-05,0.39427213755320284,0.0009055303056807124,0.0007842821274771603,0.0007280368477944133,0.11955385655164719,63,45,116726,0.5,0.0,0.0,1.3909478187561035,0.11629238724708557,0.005950233433395624,1.3909478187561035
200,0.1479019969701767,-27.30007062989372,475.49297172914777,-23.18929843925128,165.51533269409381,0.15529253077640856,0.000373555352534018,0.00046285445380394295,0.0003870880401596311,5.619349333689937e-05,2.117538529482244,0.0009042696435408948,0.0007840995186382226,0.0007284607564756282,0.1196952536702156,63,45,116726,0.5,0.0,0.0,1.1175674200057983,0.6059160828590393,0.021598663181066513,1.1175674200057983
